# ID,WKT
87,"POLYGON ((7.803951454258062 47.498321489833778,7.846803575988951 47.653592346282920,7.656982369711560 47.666456663038026,7.615141962340153 47.511052727346645,7.803951454258062 47.498321489833778))"
88,"POLYGON ((8.660190668698482 47.121588087396844,8.707274734495124 47.275275189265038,8.517231616586630 47.289620996698353,8.471144633014832 47.135786147293089,8.660190668698482 47.121588087396844))"
89,"POLYGON ((8.849666788199317 47.107037866411112,8.897748130957812 47.260573670231558,8.707274734495124 47.275275189265038,8.660190668698482 47.121588087396844,8.849666788199317 47.107037866411112))"
90,"POLYGON ((8.897748130957812 47.260573670231558,8.946251898069836 47.414541077371524,8.754772989799232 47.429395536945023,8.707274734495124 47.275275189265038,8.897748130957812 47.260573670231558))"
91,"POLYGON ((9.769338826582553 47.505230866608919,9.822791278903674 47.659394362514384,9.627615285790071 47.676047121062588,9.575184528326451 47.521712577005168,9.769338826582553 47.505230866608919))"
92,"POLYGON ((9.716352617103505 47.351488447245529,9.769338826582553 47.505230866608919,9.575184528326451 47.521712577005168,9.523211750004467 47.367800935722904,9.716352617103505 47.351488447245529))"
93,"POLYGON ((9.523211750004467 47.367800935722904,9.575184528326451 47.521712577005168,9.381436393674578 47.537823036812313,9.330477287543582 47.383745846804587,9.523211750004467 47.367800935722904))"
94,"POLYGON ((9.027488252655441 45.852315624453162,9.051280684106137 45.927056629787316,8.959478407617341 45.934327236853726,8.935919359360938 45.859548953966261,9.027488252655441 45.852315624453162))"
95,"POLYGON ((8.959478407617341 45.934327236853726,8.983137418415891 46.009215549077041,8.891203225979188 46.016439843818077,8.867778507399411 45.941514469123561,8.959478407617341 45.934327236853726))"
96,"POLYGON ((9.051280684106137 45.927056629787316,9.075174004946824 46.001907463793067,8.983137418415891 46.009215549077041,8.959478407617341 45.934327236853726,9.051280684106137 45.927056629787316))"
97,"POLYGON ((6.789228418749177 46.469243267366807,6.807436502232968 46.545505291903801,6.717093224215236 46.550853694545566,6.699122327626026 46.474563973092572,6.789228418749177 46.469243267366807))"
98,"POLYGON ((6.519268093088733 46.484969632669674,6.536765026767843 46.561313543021214,6.446781299579512 46.566425549149088,6.429521132709435 46.490055144571372,6.519268093088733 46.484969632669674))"
99,"POLYGON ((6.095517563531571 46.200203746712653,6.111784099416404 46.276191775053100,6.023226653485084 46.280893722414611,6.007192318111003 46.204881326844962,6.095517563531571 46.200203746712653))"
100,"POLYGON ((6.200463676727389 46.271414010954715,6.217033965584450 46.347492229655309,6.128121046263958 46.352294883596585,6.111784099416404 46.276191775053100,6.200463676727389 46.271414010954715))"
101,"POLYGON ((6.861087272941426 46.387723172219687,6.879453031007891 46.463843607513979,6.789228418749177 46.469243267366807,6.771098990124891 46.393094884870230,6.861087272941426 46.387723172219687))"
102,"POLYGON ((7.755073106487263 45.946121326965446,7.775601716800578 46.021346865650628,7.685291499344005 46.027472594184403,7.664995560347626 45.952215494935636,7.755073106487263 45.946121326965446))"
103,"POLYGON ((7.775601716800578 46.021346865650628,7.796218088368060 46.096684852287027,7.705674250789497 46.102842312824372,7.685291499344005 46.027472594184403,7.775601716800578 46.021346865650628))"
104,"POLYGON ((7.921789156095402 46.551065564828775,7.943034870517193 46.627186318353985,7.850828677995231 46.633570783488786,7.829823375029529 46.557417071050949,7.921789156095402 46.551065564828775))"
105,"POLYGON ((7.943034870517193 46.627186318353985,7.964372686747577 46.703418236209217,7.871925090747578 46.709835839429651,7.850828677995231 46.633570783488786,7.943034870517193 46.627186318353985))"
106,"POLYGON ((7.850828677995231 46.633570783488786,7.871925090747578 46.709835839429651,7.779589516493124 46.716169846091240,7.758734433137676 46.639872072939603,7.850828677995231 46.633570783488786))"
107,"POLYGON ((8.425458615376060 46.982387758982078,8.448251810156407 47.059032296901030,8.354139533434134 47.065963944749498,8.331592999698980 46.989283621025280,8.425458615376060 46.982387758982078))"
108,"POLYGON ((8.707274734495124 47.275275189265038,8.730971769862130 47.352281311020207,8.635645232533159 47.359536007253020,8.612199028422435 47.282492424818017,8.707274734495124 47.275275189265038))"
109,"POLYGON ((6.699122327626026 46.474563973092572,6.708098038033971 46.512694619219680,6.663030415161955 46.515332290380393,6.654113914190685 46.477194804784098,6.699122327626026 46.474563973092572))"
110,"POLYGON ((6.609135354624716 46.479806002036653,6.617992663402291 46.517950276985658,6.572984857096407 46.520548613949245,6.564186722982143 46.482397599694124,6.609135354624716 46.479806002036653))"
111,"POLYGON ((6.564186722982143 46.482397599694124,6.572984857096407 46.520548613949245,6.528007070356752 46.523127336254589,6.519268093088733 46.484969632669674,6.564186722982143 46.482397599694124))"
112,"POLYGON ((6.572984857096407 46.520548613949245,6.581802094587696 46.558728113088563,6.536765026767843 46.561313543021214,6.528007070356752 46.523127336254589,6.572984857096407 46.520548613949245))"
113,"POLYGON ((6.617992663402291 46.517950276985658,6.626869199740799 46.556123018389250,6.581802094587696 46.558728113088563,6.572984857096407 46.520548613949245,6.617992663402291 46.517950276985658))"
114,"POLYGON ((6.951193349210111 46.382272631331766,6.960484408373272 46.420304497938659,6.915357623039488 46.423046741860610,6.906125624285159 46.385007772455573,6.951193349210111 46.382272631331766))"
115,"POLYGON ((6.960484408373272 46.420304497938659,6.969795563782777 46.458364717330269,6.924609595011173 46.461114083431198,6.915357623039488 46.423046741860610,6.960484408373272 46.420304497938659))"
116,"POLYGON ((6.915357623039488 46.423046741860610,6.924609595011173 46.461114083431198,6.879453031007891 46.463843607513979,6.870260226910202 46.425769194159670,6.915357623039488 46.423046741860610))"
117,"POLYGON ((8.295900618826153 47.031034459489540,8.307124453558048 47.069397198513222,8.260136862310439 47.072808783186304,8.248974742168787 47.034437221877702,8.295900618826153 47.031034459489540))"
118,"POLYGON ((8.528816592477249 47.328147718646015,8.540427016322699 47.366701593461045,8.492858755530815 47.370251053714405,8.481311091793319 47.331687996466364,8.528816592477249 47.328147718646015))"
119,"POLYGON ((8.552062966644549 47.405282595311519,8.563724522277461 47.443890698166882,8.516030350281985 47.447458597995166,8.504431815536964 47.408841262877985,8.552062966644549 47.405282595311519))"
120,"POLYGON ((8.492858755530815 47.370251053714405,8.504431815536964 47.408841262877985,8.456828020741172 47.412377697386638,8.445317846831962 47.373778336752686,8.492858755530815 47.370251053714405))"
121,"POLYGON ((7.578374336119743 47.552999240990857,7.588759667742463 47.591844656978729,7.541532699829566 47.594967908078743,7.531210497327733 47.556114379019583,7.578374336119743 47.552999240990857))"
122,"POLYGON ((8.576349350905351 47.324585285827382,8.588022538852012 47.363129922453567,8.540427016322699 47.366701593461045,8.528816592477249 47.328147718646015,8.576349350905351 47.324585285827382))"
123,"POLYGON ((6.658569749410319 46.496259990404901,6.663030415161955 46.515332290380393,6.640507800741377 46.516643742071984,6.636061941871104 46.497569740467668,6.658569749410319 46.496259990404901))"
124,"POLYGON ((6.636061941871104 46.497569740467668,6.640507800741377 46.516643742071984,6.617992663402291 46.517950276985658,6.613561609241652 46.498874580016839,6.636061941871104 46.497569740467668))"
125,"POLYGON ((6.139725958357268 46.197836687905117,6.143815009731739 46.216819822860820,6.121692506431293 46.218007252569585,6.117617953833111 46.199022576679823,6.139725958357268 46.197836687905117))"
126,"POLYGON ((6.143815009731739 46.216819822860820,6.147908472094239 46.235810152562458,6.125771454826256 46.236999125313893,6.121692506431293 46.218007252569585,6.143815009731739 46.216819822860820))"
127,"POLYGON ((6.165945121101176 46.215627664004593,6.170053099977961 46.234616444614190,6.147908472094239 46.235810152562458,6.143815009731739 46.216819822860820,6.165945121101176 46.215627664004593))"
128,"POLYGON ((6.183964775249060 46.195450736676911,6.188082831806093 46.214430771635975,6.165945121101176 46.215627664004593,6.161841568401459 46.196646076024273,6.183964775249060 46.195450736676911))"
129,"POLYGON ((7.443408911920731 46.952928808540676,7.448439939305686 46.972131243099696,7.425312711213364 46.973637085150820,7.420296953447263 46.954432697585133,7.443408911920731 46.952928808540676))"
130,"POLYGON ((7.438383376759527 46.933733349239716,7.443408911920731 46.952928808540676,7.420296953447263 46.954432697585133,7.415286671943917 46.935235287933317,7.438383376759527 46.933733349239716))"
131,"POLYGON ((7.466528101342321 46.951419711348407,7.471574399844195 46.970620186290823,7.448439939305686 46.972131243099696,7.443408911920731 46.952928808540676,7.466528101342321 46.951419711348407))"
132,"POLYGON ((8.319373868584002 47.029324974888738,8.324998146879430 47.048500703515323,8.301509475312530 47.050212402397761,8.295900618826153 47.031034459489540,8.319373868584002 47.029324974888738))"
133,"POLYGON ((8.516639472556955 47.368479097838140,8.522438537304245 47.387768513266998,8.498642106103247 47.389542765924723,8.492858755530815 47.370251053714405,8.516639472556955 47.368479097838140))"
134,"POLYGON ((8.522438537304245 47.387768513266998,8.528243977215368 47.407064710328982,8.504431815536964 47.408841262877985,8.498642106103247 47.389542765924723,8.522438537304245 47.387768513266998))"
135,"POLYGON ((8.546241795754264 47.385988705129101,8.552062966644549 47.405282595311519,8.528243977215368 47.407064710328982,8.522438537304245 47.387768513266998,8.546241795754264 47.385988705129101))"
136,"POLYGON ((7.620351755088691 47.530454147921446,7.625567317836458 47.549862452356791,7.601967189522462 47.551433555227739,7.596767387375152 47.532023209491982,7.620351755088691 47.530454147921446))"
137,"POLYGON ((7.596767387375152 47.532023209491982,7.601967189522462 47.551433555227739,7.578374336119743 47.552999240990857,7.573190293238230 47.533586860827640,7.596767387375152 47.532023209491982))"
138,"POLYGON ((7.607172753988032 47.570850784460752,7.612384089768206 47.590274894037229,7.588759667742463 47.591844656978729,7.583564124630428 47.572418507424530,7.607172753988032 47.570850784460752))"
139,"POLYGON ((7.625567317836458 47.549862452356791,7.630788659585727 47.569277637507255,7.607172753988032 47.570850784460752,7.601967189522462 47.551433555227739,7.625567317836458 47.549862452356791))"
140,"POLYGON ((8.593868749093325 47.382412405648125,8.599721383359949 47.401701661092829,8.575888772479285 47.403494913629430,8.570051870129889 47.384203337318290,8.593868749093325 47.382412405648125))"
141,"POLYGON ((6.629249296855966 46.517297623853267,6.631470330009477 46.526837717334033,6.620209992605581 46.527490794349951,6.617992663402291 46.517950276985658,6.629249296855966 46.517297623853267))"
142,"POLYGON ((6.640507800741377 46.516643742071984,6.642732538117396 46.526183410885700,6.631470330009477 46.526837717334033,6.629249296855966 46.517297623853267,6.640507800741377 46.516643742071984))"
143,"POLYGON ((6.642732538117396 46.526183410885700,6.644958482016412 46.535724857976689,6.633692567744910 46.536379589382072,6.631470330009477 46.526837717334033,6.642732538117396 46.526183410885700))"
144,"POLYGON ((6.112669407775451 46.228094616752884,6.114705802903823 46.237591837357314,6.103642056910352 46.238183367241838,6.101609290422507 46.228685762634349,6.112669407775451 46.228094616752884))"
145,"POLYGON ((6.152830412190856 46.206732254392954,6.154879114953349 46.216224334849045,6.143815009731739 46.216819822860820,6.141769933090436 46.207327355906543,6.152830412190856 46.206732254392954))"
146,"POLYGON ((6.161841568401459 46.196646076024273,6.163892791899998 46.206135970802400,6.152830412190856 46.206732254392954,6.150782813233818 46.197241972625577,6.161841568401459 46.196646076024273))"
147,"POLYGON ((6.163892791899998 46.206135970802400,6.165945121101176 46.215627664004593,6.154879114953349 46.216224334849045,6.152830412190856 46.206732254392954,6.163892791899998 46.206135970802400))"
148,"POLYGON ((7.452450335126022 46.942576798493931,7.454967603400438 46.952174911233378,7.443408911920731 46.952928808540676,7.440895458339847 46.943330206809620,7.452450335126022 46.942576798493931))"
149,"POLYGON ((7.464007018187878 46.941822088426264,7.466528101342321 46.951419711348407,7.454967603400438 46.952174911233378,7.452450335126022 46.942576798493931,7.464007018187878 46.941822088426264))"
150,"POLYGON ((8.543333607721882 47.376344301777515,8.546241795754264 47.385988705129101,8.534339313830502 47.386879303895263,8.531435055517948 47.377234323972225,8.543333607721882 47.376344301777515))"
151,"POLYGON ((8.531435055517948 47.377234323972225,8.534339313830502 47.386879303895263,8.522438537304245 47.387768513266998,8.519538208649440 47.378122957645431,8.531435055517948 47.377234323972225))"
152,"POLYGON ((8.528532391803392 47.367591039474163,8.531435055517948 47.377234323972225,8.519538208649440 47.378122957645431,8.516639472556955 47.368479097838140,8.528532391803392 47.367591039474163))"
153,"POLYGON ((7.592767971132809 47.561925338902206,7.595367529101054 47.571635323662790,7.583564124630428 47.572418507424530,7.580968511611102 47.562708013620473,7.592767971132809 47.561925338902206))"
154,"POLYGON ((7.601967189522462 47.551433555227739,7.604569250903618 47.561141309603919,7.592767971132809 47.561925338902206,7.590169852780356 47.552217074969469,7.601967189522462 47.551433555227739))"
155,"POLYGON ((7.604569250903618 47.561141309603919,7.607172753988032 47.570850784460752,7.595367529101054 47.571635323662790,7.592767971132809 47.561925338902206,7.604569250903618 47.561141309603919))"
156,"POLYGON ((8.555233863846727 47.375452890537595,8.558145981659651 47.385096716444600,8.546241795754264 47.385988705129101,8.543333607721882 47.376344301777515,8.555233863846727 47.375452890537595))"
157,"POLYGON ((6.146276903789058 46.202284490516675,6.147299934996397 46.207029952875288,6.141769933090436 46.207327355906543,6.140747808037720 46.202581797020109,6.146276903789058 46.202284490516675))"
158,"POLYGON ((6.145254148191063 46.197539477896498,6.146276903789058 46.202284490516675,6.140747808037720 46.202581797020109,6.139725958357268 46.197836687905117,6.145254148191063 46.197539477896498))"
159,"POLYGON ((6.150782813233818 46.197241972625577,6.151806474789126 46.201986888656556,6.146276903789058 46.202284490516675,6.145254148191063 46.197539477896498,6.150782813233818 46.197241972625577))"
160,"POLYGON ((6.151806474789126 46.201986888656556,6.152830412190856 46.206732254392954,6.147299934996397 46.207029952875288,6.146276903789058 46.202284490516675,6.151806474789126 46.201986888656556))"
161,"POLYGON ((8.313252952847284 47.049357229524446,8.314658052074545 47.054152509376060,8.308785134180786 47.054580403378679,8.307380999432828 47.049784985070566,8.313252952847284 47.049357229524446))"
162,"POLYGON ((8.307380999432828 47.049784985070566,8.308785134180786 47.054580403378679,8.302912645592700 47.055007959055956,8.301509475312530 47.050212402397761,8.307380999432828 47.049784985070566))"
163,"POLYGON ((8.540427016322699 47.366701593461045,8.541880112520042 47.371522735714521,8.535931605391703 47.371967776285508,8.534479490992238 47.367146489956475,8.540427016322699 47.366701593461045))"
164,"POLYGON ((8.541880112520042 47.371522735714521,8.543333607721882 47.376344301777515,8.537384118541373 47.376789486472795,8.535931605391703 47.371967776285508,8.541880112520042 47.371522735714521))"
165,"POLYGON ((7.585569760554388 47.557462371204949,7.586868013756182 47.562316845549020,7.580968511611102 47.562708013620473,7.579671244244513 47.557853412134257,7.585569760554388 47.557462371204949))"
166,"POLYGON ((7.590169852780356 47.552217074969469,7.591468732074788 47.557070991807748,7.585569760554388 47.557462371204949,7.584271866855309 47.552608327160399,7.590169852780356 47.552217074969469))"
167,"POLYGON ((7.591468732074788 47.557070991807748,7.592767971132809 47.561925338902206,7.586868013756182 47.562316845549020,7.585569760554388 47.557462371204949,7.591468732074788 47.557070991807748))"
168,"POLYGON ((8.547829045620984 47.371077347991310,8.549283522882630 47.375898769820914,8.543333607721882 47.376344301777515,8.541880112520042 47.371522735714521,8.547829045620984 47.371077347991310))"
169,"POLYGON ((8.546374967618100 47.366256349922445,8.547829045620984 47.371077347991310,8.541880112520042 47.371522735714521,8.540427016322699 47.366701593461045,8.546374967618100 47.366256349922445))"
170,"POLYGON ((8.552323344701716 47.365810759275291,8.553778404517722 47.370631613050470,8.547829045620984 47.371077347991310,8.546374967618100 47.366256349922445,8.552323344701716 47.365810759275291))"
171,"POLYGON ((6.116962608644472 46.235069320418617,6.117472037246183 46.237443770195227,6.114705802903823 46.237591837357314,6.114196601149275 46.235217363544841,6.116962608644472 46.235069320418617))"
172,"POLYGON ((6.119219148500724 46.232546890111706,6.119728735238176 46.234921203410728,6.116962608644472 46.235069320418617,6.116453248729487 46.232694983076030,6.119219148500724 46.232546890111706))"
173,"POLYGON ((6.119728735238176 46.234921203410728,6.120238390692069 46.237295629139673,6.117472037246183 46.237443770195227,6.116962608644472 46.235069320418617,6.119728735238176 46.234921203410728))"
